source_id,source_label,target_id,target_label,edge_type,epistemic_status,role,amount_usd,note,weight,source_doc
miller,Judge Cylenthia Miller,banks,Brian Roderick Banks,campaign_vendor,record,,,Banks Strategy as campaign vendor,5,CFRS
moreland,Lamar Moreland,pca,Purpose Charter Academy,board_membership,record,Board Vice Chair,,,8,purposecharteracademy.com/boardofdirectors
moreland,Lamar Moreland,ag_office,Michigan Attorney General's Office,employment,record,Assistant Attorney General,,,9,
latisha_johnson,Latisha Johnson,pca,Purpose Charter Academy,board_membership,record,Board Secretary,,,7,purposecharteracademy.com/boardofdirectors
latisha_johnson,Latisha Johnson,city_council,Detroit City Council,elected_office,record,Council Member,,,8,
yancey,Judge Tenisha Yancey,macdowell,MacDowell Preparatory Academy,board_membership,record,Board Chair,,,9,"Clutch Justice Sep 13, 2026"
yancey,Judge Tenisha Yancey,banks_strategy,Banks Strategy & Consultants LLC,payment,record,,383.82,Sole contribution and sole expenditure,8,CFRS
yancey,Judge Tenisha Yancey,inner_link,Inner Link Graphics,payment,record,,8025,Campaign vendor payments,6,TransparencyUSA
yancey,Judge Tenisha Yancey,court_36th,36th District Court,bench,record,Judge,,,10,
sabree_a,Judge Aliyah Sabree,court_3rd,Wayne County 3rd Circuit Court,bench,record,Judge (Family Division),,,10,
sabree_a,Judge Aliyah Sabree,banks,Brian Roderick Banks,classmate,record,,,MSU Law 2010 — same year as Banks' claimed J.D.,5,Graduation records
eric_sabree,Eric Sabree,sabree_a,Judge Aliyah Sabree,family,record,Father,,,10,
eric_sabree,Eric Sabree,sabree_adam,Judge Adam Sabree,family,record,Father,,,10,
eric_sabree,Eric Sabree,miller,Judge Cylenthia Miller,political,inference,,,Listed as endorser on keepjudgemiller.com,4,keepjudgemiller.com
sabree_adam,Judge Adam Sabree,court_36th,36th District Court,bench,record,Judge,,,10,
perkins_d,Judge David Perkins,court_probate,Wayne County Probate Court,bench,record,Chief Judge Pro Tem,,,10,
perkins_d,Judge David Perkins,banks,Brian Roderick Banks,family_donation,record,,,Family donated to Banks-aligned campaigns,4,CFRS
perkins_sean,Judge Sean Perkins,court_36th,36th District Court,bench,record,Judge,,,10,
perkins_sean,Judge Sean Perkins,todd_perkins,Todd Perkins,family,record,Brother,,,10,
ramsey,Judge Kelly Ramsey,court_3rd,Wayne County 3rd Circuit Court,bench,record,Judge (Criminal Division),,,10,
ramsey,Judge Kelly Ramsey,macdowell,MacDowell Preparatory Academy,employment_family,record,,,2 family members on MacDowell payroll,6,School records
evans,Judge Vonda Evans (Retired),court_3rd,Wayne County 3rd Circuit Court,bench,record,Judge (retired),,,7,
evans,Judge Vonda Evans (Retired),banks,Brian Roderick Banks,mentorship,corroborated,,,21-year mentor. Endorsed Banks despite criminal record.,8,Book analysis
langford_morris,Judge Denise Langford Morris (Retired),court_oakland,Oakland County Circuit Court,bench,record,"Judge (retired, now JAMS)",,,7,
langford_morris,Judge Denise Langford Morris (Retired),banks,Brian Roderick Banks,credential_legitimization,corroborated,,,Wrote book foreword using Banks' fake J.D.,7,Book analysis
todd_perkins,Todd Perkins,banks,Brian Roderick Banks,legal_representation,record,Personal attorney,,,9,Court filings
todd_perkins,Todd Perkins,miller,Judge Cylenthia Miller,legal_representation,record,,,Represented Miller in DTW gun case,7,WXYZ
gay_dagnogo,Sherry Gay-Dagnogo,dpscd,DPSCD (Detroit Public Schools Community District),board_membership,record,Former board member,,,8,
gay_dagnogo,Sherry Gay-Dagnogo,pca,Purpose Charter Academy,authorization,record,,,Voted to authorize Banks' charters,8,DPSCD board minutes
gay_dagnogo,Sherry Gay-Dagnogo,macdowell,MacDowell Preparatory Academy,authorization,record,,,Authorized charter,8,
gay_dagnogo,Sherry Gay-Dagnogo,banks,Brian Roderick Banks,political,inference,,,CBC Week honoree; campaign ally,6,Eventbrite
mckinney,Billy McKinney,banks,Brian Roderick Banks,payment,record,,4483,Campaign → extended Banks family,5,TransparencyUSA
od_banks,OD Banks,banks,Brian Roderick Banks,family,record,Father,,,10,PACER 2:05-cr-80955
pca,Purpose Charter Academy,purpose_group,"The Purpose Group, LLC",money_flow,corroborated,,,Management contract — per-pupil funding flows to CMO,9,
macdowell,MacDowell Preparatory Academy,purpose_group,"The Purpose Group, LLC",money_flow,corroborated,,4285201,72.67% of $4.9M revenue to CMO,10,Audited financials
purpose_group,"The Purpose Group, LLC",banks,Brian Roderick Banks,money_flow,corroborated,,,Sole member extracts as salary + management fee,10,
pca,Purpose Charter Academy,court_3rd,Wayne County 3rd Circuit Court,jurisdiction,inference,,,Cases from PCA families filed in 3rd Circuit,5,
pca,Purpose Charter Academy,court_36th,36th District Court,jurisdiction,inference,,,Cases from PCA families filed in 36th District,5,
macdowell,MacDowell Preparatory Academy,court_3rd,Wayne County 3rd Circuit Court,jurisdiction,inference,,,Cases from MacDowell families filed in 3rd Circuit,5,
macdowell,MacDowell Preparatory Academy,court_36th,36th District Court,jurisdiction,inference,,,Cases from MacDowell families filed in 36th District,5,
